year,number
1966,1
1967,1
1971,1
1978,1
1986,4
1987,1
1988,2
1990,1
1991,2
1995,1
1997,1
1999,1
2001,2
2002,1
2005,1
2006,2
2007,1
2009,1
2010,1
2011,2
2012,1
2013,3
2014,1
2015,3
2016,2
2017,1
2018,1
